protein
ATP5F1A
ATP5F1B
ATP5MC1
COX4I1
DNM1L
MFN2
NDUFA9
NDUFS1
NDUFS2
OPA1
PHB2
PINK1
PRKN
SDHA
SLC25A3
TFAM
TOMM20
VDAC1
