subject_id,copy_number,fusion_fission,mitophagy,heterogeneity,metabolism_>_carbohydrate_metabolism_>_tca_cycle,metabolism_>_metals_and_cofactors_>_copper_metabolism,metabolism_>_metals_and_cofactors_>_fe_s_containing_proteins,mitochondrial_dynamics_and_surveillance,mitochondrial_dynamics_and_surveillance_>_cristae_formation,mitochondrial_dynamics_and_surveillance_>_fission,mitochondrial_dynamics_and_surveillance_>_fusion,mitochondrial_dynamics_and_surveillance_>_organelle_contact_sites,oxphos_>_complex_i_>_ci_subunits,oxphos_>_complex_ii_>_cii_subunits,oxphos_>_complex_iv_>_civ_subunits,oxphos_>_complex_v_>_cv_subunits,oxphos_>_oxphos_subunits,protein_import,signaling_>_calcium_homeostasis_>_calcium_cycle,signaling_>_calcium_homeostasis_>_mitochondrial_permeability_transition_pore,small_molecule_transport,small_molecule_transport_>_slc25a_family,sorting_and_homeostasis_>_protein_homeostasis_>_chaperones,sorting_and_homeostasis_>_protein_import_and_sorting_>_tom,MHI
CID3586,0.0,-0.42030507,-0.45807058,0.6636823779191685,,,,,,,,,,,,,,,,,,,,,0.1111150397321849
CID3838,0.0,0.59065694,0.49635026,0.8189460842486361,,,,,,,,,,,,,,,,,,,,,0.5088767068671358
CID3921,0.0,0.24070257,0.05670066,0.9196986503260106,,,,,,,,,,,,,,,,,,,,,0.38337951607365395
CID3941,0.0,-0.2746696,-0.23316464,0.7747476915281833,,,,,,,,,,,,,,,,,,,,,0.20101907727733143
CID3946,0.0,-0.4843414,-0.51348567,0.7184148587213017,,,,,,,,,,,,,,,,,,,,,0.10533203773391643
CID3948,0.0,-0.37125483,-0.43047556,0.8595941098102446,,,,,,,,,,,,,,,,,,,,,0.16480778927397016
CID3963,0.0,-0.2829142,-0.28574693,0.7610527158134799,,,,,,,,,,,,,,,,,,,,,0.18765594860251333
CID4040,0.0,0.18389547,0.23312692,0.8036108733239176,,,,,,,,,,,,,,,,,,,,,0.37883938378503074
CID4066,0.0,-0.08223478,-0.1729484,0.9052395777339509,,,,,,,,,,,,,,,,,,,,,0.27615930829000324
CID4067,0.0,-0.11381911,-0.30325276,0.6413653812148639,,,,,,,,,,,,,,,,,,,,,0.19491666602317673
CID4290A,0.0,0.046695884,-0.22083049,0.6103946945395088,,,,,,,,,,,,,,,,,,,,,0.23518711083059277
CID4398,0.0,-0.50831556,-0.45097995,0.6105617634332589,,,,,,,,,,,,,,,,,,,,,0.0909594953859478
CID44041,0.0,-0.31134284,-0.25904816,0.8536907286099812,,,,,,,,,,,,,,,,,,,,,0.2049545485646769
CID4461,0.0,-0.4430241,-0.44571084,0.8183258361337592,,,,,,,,,,,,,,,,,,,,,0.13949189784078295
CID4463,0.0,0.4539124,0.24808891,0.7423484930994303,,,,,,,,,,,,,,,,,,,,,0.42366112893136365
CID4465,0.0,-0.4600475,-0.5533406,0.937828484960733,,,,,,,,,,,,,,,,,,,,,0.15185463069023988
CID4471,0.0,-0.0404564,-0.06163476,0.8129048935566496,,,,,,,,,,,,,,,,,,,,,0.28515064090032505
CID4495,0.0,0.007454287,0.0032983923,0.9999999994757144,,,,,,,,,,,,,,,,,,,,,0.3317082279147656
CID44971,0.0,0.049626578,0.03705468,0.9458027532451624,,,,,,,,,,,,,,,,,,,,,0.3459756497748361
CID44991,0.0,0.21561322,0.14692576,0.6265748937031138,,,,,,,,,,,,,,,,,,,,,0.33521870783878666
CID4513,0.0,0.3077438,0.24115235,0.8580285326382479,,,,,,,,,,,,,,,,,,,,,0.4160596088971188
CID4515,0.0,0.7197842,0.64318055,0.8026691425773651,,,,,,,,,,,,,,,,,,,,,0.5567278285926787
CID45171,0.0,0.18622164,0.3248598,0.746731074247925,,,,,,,,,,,,,,,,,,,,,0.38360348917592013
CID4523,0.0,0.6664574,1.4838685,0.5223873866181192,,,,,,,,,,,,,,,,,,,,,0.5463112131356023
CID4530N,0.0,0.8007258,0.7616393,0.7242520273464023,,,,,,,,,,,,,,,,,,,,,0.5704306462007154
CID4535,0.0,0.8196246,1.1393067,0.6915883714944133,,,,,,,,,,,,,,,,,,,,,0.5999796663796083
HTAPP-225,0.0,-0.20142005,-0.4666665,0.6526161644003794,,,,,,,,,,,,,,,,,,,,,0.15161535882650148
HTAPP-425,0.0,0.22987758,0.18635684,0.6425237368195592,,,,,,,,,,,,,,,,,,,,,0.34800372017266207
HTAPP-783,0.0,0.0732401,0.123783536,0.5480648011460622,,,,,,,,,,,,,,,,,,,,,0.28687517250757816
HTAPP-806,0.0,-0.0011177708,-0.3064676,0.3423612456201738,,,,,,,,,,,,,,,,,,,,,0.157456417431282
